
Nasjonal vegdatabank- PRODUKSJON          2021-11-15 09.04

Oversikt over veglenker som ikke er fullt dekket av objekttype 904 (vegkat ERF, fase VT, trafikantgr K, vegtype -ferje)

PL/SQL procedure successfully completed.


       NID      MSLOC      MELOC     LENGTH VREF
    805461  .55112872   .5511787       .488 FV5390 S1D1 seq=1000 (K)
    805464   .6518168  .65183698       .193 FV5392 S1D1 seq=1000 (K)
    805621  .50232439  .50232977       .053 EV39 S71D1 seq=2000 (K)
    805622  .99248976   .9925077       .156 EV39 S70D1 seq=7000 (K)
    805690  .40985218  .40985833       .061 FV545 S1D1 seq=5000 (K)
    805752  .46696572  .46696794       .018 FV4998 S1D1 seq=9000 (K)
    805792  .63985963   .6398684       .022 FV5168 S1D1 seq=2000 (K)
    805799  .56505689  .56517133       .433 FV5240 S1D1 seq=1000 (K)
    805799  .91495838  .91500925       .192 FV5240 S1D1 seq=27000 (K)
    805830  .85738336  .85743066       .463 FV5398 S1D1 seq=3000 (K)
    805845  .19916862  .19921514       .463 FV5476 S1D1 seq=1000 (K)
    805846  .61690531  .61691238        .07 FV525 S1D1 seq=1000 (K)
    879418          0          1    191.547 EV10 S4D1 seq=2000 SD1 (K)
    880308          0          1    110.766 EV10 S9D1 seq=2000 SD1 (K)
    880626          0          1     63.669 EV10 S12D1 seq=2000 SD1 (K)
    885700  .08129129  .08131013       .186 FV7526 S1D1 seq=2000 (K)
    885776  .05200035  .05204217       .405 FV7634 S1D1 seq=3000 (K)
    921261  .36278909  .36287226       .109 RV94 S6D10 seq=6000 (K)
    930280  .94673299  .94678391       .357 EV6 S243D1 seq=1000 (K)
    930459  .63921053  .63924966       .345 FV7990 S1D1 seq=5000 (K)
    930611  .70775326  .70775702       .033 EV6 S241D1 seq=3000 (K)
    971632  .79847936  .79849543       .045 FV1108 S1D1 seq=1000 (K)
    971644  .48031838  .48057512       .489 FV1132 S1D1 seq=1000 (K)
    971645  .65785565  .65785891       .003 FV1134 S1D1 seq=1000 (K)
    971672  .30787509  .30789944       .171 FV1194 S1D1 seq=1000 (K)
    971688  .17579933  .17586517        .45 FV1226 S1D1 seq=1000 (K)
    971722  .01991069  .02002951       .292 FV1304 S1D1 seq=1000 (K)
    971833  .68903257  .68903685       .043 FV1048 S2D1 seq=1000 (K)
    971835  .89071198  .89076286       .218 FV1054 S2D1 seq=1000 (K)
    971835  .89660421  .89664436       .172 FV1054 S3D1 seq=1000 (K)
    971840  .98356894  .98359062        .19 FV1088 S2D1 seq=1000 (K)
    971842  .32898054  .32900712       .212 FV1104 S2D1 seq=1000 (K)
    971844  .28144804  .28151023       .436 FV107 S2D1 seq=1000 (K)
    971862  .23416671  .23421627       .278 FV1252 S1D1 seq=3000 (K)
    971866  .49736984  .49739827       .276 FV1270 S1D1 seq=3000 (K)
   1060109  .18413668  .18417335       .349 RV15 S10D1 seq=3000 (K)
   1060156  .91528585  .91529043       .046 FV240 S1D1 seq=3000 (K)
   1060165  .69957265  .69958367       .108 FV245 S2D1 seq=1000 (K)
   1060235  .00401359  .00417363       .168 FV2294 S1D1 seq=2000 (K)
   1060266  .99998622          1       .009 FV2347 S1D1 seq=3000 (K)
   1060276  .84056778  .84059681       .218 FV2366 S1D1 seq=4000 (K)
   1060300  .64454326  .64457466       .301 FV2388 S1D1 seq=1000 (K)
   1060302  .40957748  .40967792       .454 FV2388 S4D1 seq=7000 (K)
   1060419  .67417236   .6741846       .112 FV2522 S2D1 seq=9000 (K)
   1060468  .08944552  .08944945       .031 FV2544 S1D1 seq=2000 (K)
   1060478  .44179413  .44181898       .236 FV2560 S1D1 seq=7500 (K)
   1060543  .12636129  .12637826        .17 FV2632 S1D1 seq=1000 (K)
   1060569  .93120571  .99973515    681.263 FV2662 S1D1 seq=1000 (K)
   1060650  .70281316  .82209713   1183.883 RV4 S10D50 seq=16000 (K)
   1060650  .82873462  .86609773    370.826 RV4 S10D50 seq=19000 (K)
   1060696   .4663566  .46639514       .373 FV255 S8D1 seq=1000 (K)
   1060696  .47129654  .47131283       .158 FV255 S8D1 seq=1000 (K)
   1060705  .50691141  .50691157       .002 FV2289 S1D1 seq=2000 (K)
   1060758  .61024566   .6102654       .194 FV2636 S1D1 seq=2000 (K)
   1119189          0          1     222.94 EV6 S175D1 seq=2000 SD1 (K)
   1121973          0  .48836739    265.062 EV6 S179D1 seq=6000 SD1 (K)
   1122127          0          1    157.617 EV6 S177D1 seq=2000 SD1 (K)
   1125775   .7476922          1    2899.91 EV6 S185D10 seq=6000 (K)
   1125776          0          1    9568.52 EV6 S185D10 seq=9000 (K)
   1125906   .9746066  .97462266       .095 FV858 S8D1 seq=8000 (K)
   1126292          0  .06633359    712.971 EV6 S185D10 seq=12000 (K)
   1126292  .09779084  .11955523     233.93 EV6 S185D10 seq=12010 (K)
   1175478   .4223926  .42242085       .176 FV32 S2D1 seq=17000 (K)
   1175583          0          1   1998.141 FV319 S5D1 seq=36000 (K)
   1175626          0  .00998948      5.732 FV3010 S1D1 seq=1000 (K)
   1175664  .91397895          1    399.271 FV3058 S1D1 seq=34000 (K)
   1175864          0   .8028312   7933.829 FV319 S4D1 seq=2000 (K)
   1175864  .82304382          1   1748.736 FV319 S5D1 seq=19000 (K)
   1175882  .20927495  .20933206       .459 FV256 S7D1 seq=64000 (K)
   1175890          0  .99877201   2418.232 FV3222 S2D1 seq=1000 (K)
   1221911          0          1     62.991 FV3370 S1D1 seq=2000 (K)
   1221924          0          1     36.327 FV3370 S1D1 seq=1000 (K)
   1666565          0  .00000014          0 FV5198 S1D10 seq=7000 (K)
   1721909  .95652174  .95744681       .043 FV4466 S1D1 seq=7000 (K)
   1747028          0  .07285933     59.902 EV39 S104D1 seq=6000 SD1 (K)
   1756347          0          1     15.365 FV64 S9D112 seq=8100 (G)
   1823122  .00744417   .0076617       .088 FV4100 S1D1 seq=1000 (K)
   1841328          0          1   2543.985 RV94 S3D10 seq=5000 (K)
   1841329          0          1    166.559 RV94 S3D10 seq=6000 (K)
   1852034          0          1    118.428 FV660 S6D1 seq=2000 SD1 (K)
   1886097          0          1     69.542 FV6164 S1D1 seq=1000 SD1 (K)
   1928214  .06493506  .06536564       .066 EV6 S85D1 seq=23000 KD3 (K)
   2046440  .33318869  .51080982      6.195 FV360 S3D30 seq=15000 (K)
   2063941          0          1      19.08 EV39 S112D1 seq=3000 SD1 (K)
   2063981          0          1    119.476 EV39 S112D1 seq=3000 SD2 (K)
   2068851  .79578509          1     17.912 EV10 S19D1 seq=2000 SD1 (K)
   2068852          0          1     91.633 EV10 S20D1 seq=2000 SD1 (K)
   2068871          0          1     58.581 EV10 S20D1 seq=3000 SD1 (K)
   2068891          0          1      11.51 EV10 S19D1 seq=2000 SD1 (K)
   2068892          0          1     29.298 EV10 S19D1 seq=2000 SD1 (K)
   2072901          0          1    108.111 EV10 S20D1 seq=8000 SD1 (K)
   2158978          0          1    129.978 EV10 S16D1 seq=1000 SD1 (K)
   2176849          0          1     31.066 FV210 S3D1 seq=2000 SD1 (K)
   2198170          0          1     22.472 FV3310 S4D10 seq=10000 (K)
   2198173          0          1     19.164 FV3310 S4D10 seq=12000 (K)
   2210675          0  .72717507     22.981 RV94 S3D10 seq=4000 (K)
   2370596  .12385547  .85075612     356.81 FV554 S1D101 seq=100 (G)
   2402188          0          1    283.511 RV94 S3D10 seq=3000 (K)
   2453615  .90378423  .90391221       .017 EV134 S2D1 seq=28000 KD4 (K)
   2473640          0          1    399.511 RV70 S9D10 seq=12000 (K)
   2483682          0          1      51.71 FV1560 S2D1 seq=2000 (K)
   2483683          0  .07137304     77.241 FV1560 S2D1 seq=3000 (K)
   2487736  .99021779          1          1 FV409 S4D1 seq=35000 KD1 (K)
   2491623          0          1     31.101 RV4 S10D50 seq=18000 (K)
   2491624          0          1     37.319 RV4 S10D50 seq=17000 (K)
   2491626          0          1     201.67 RV4 S10D50 seq=15000 (K)
   2505635          0          1    137.606 FV98 S9D1 seq=3000 SD1 (K)
   2506440          0          1     63.729 FV450 S11D1 seq=1000 SD1 (K)
   2518926          0          1     161.62 EV10 S4D1 seq=2000 SD2 (K)
   2533414          0          1     56.482 FV319 S5D1 seq=14000 (K)
   2533417          0          1    114.677 FV319 S5D1 seq=18000 (K)
   2540040          0  .90198636      67.44 RV7 S2D1 seq=23000 SD2 (K)
   2542449          0          1     15.464 RV7 S2D1 seq=23000 SD2 (K)
   2543494          0  .41627682     96.822 FV4436 S1D105 seq=2100 (K)
   2570416          0          1      5.183 FV4054 S1D1 seq=1000 (K)
   2587008          0          1      4.925 FV4188 S1D1 seq=1000 (K)
   2587695          0  .37059941     41.235 FV3420 S3D1 seq=4000 (K)
   2591294          0          1     81.838 RV9 S17D100 seq=1100 (G)
   2596303          0          1    107.646 FV710 S6D1 seq=1000 SD1 (K)
   2606773          0          1    299.092 EV134 S35D10 seq=400 (K)
   2606776          0          1     38.267 EV134 S35D1 seq=600 SD1 (K)
   2626867          0          1     20.897 EV39 S104D1 seq=6000 SD1 (K)
   2686144          0          1     36.794 FV3310 S3D10 seq=4000 (K)
   2740050          0          1    172.638 RV70 S15D1 seq=5000 SD1 (K)
   2748375          0          1     85.202 EV6 S128D1 seq=3000 SD1 (K)
   2748645          0          1    263.683 FV6434 S1D10 seq=2000 (K)
   2748650          0          1    212.918 FV6434 S1D1 seq=1500 (K)
   2782238          0          1     90.423 FV32 S8D60 seq=32000 (K)
   2783696          0          1    169.067 EV39 S101D1 seq=26000 KD9 (K)
   2783703          0          1    141.461 EV39 S101D1 seq=26000 KD8 (K)
   2783704          0          1    123.031 EV39 S101D1 seq=26000 KD10 (K)
   2791127          0          1    191.223 FV3300 S1D1 seq=1000 (K)
   2791134          0          1    272.922 FV3298 S1D1 seq=3000 (K)
   2791135          0          1     45.769 FV3296 S1D1 seq=3000 (K)
   2791136          0          1     123.38 FV3296 S1D1 seq=4000 (K)
   2792033          0          1     42.256 FV3906 S1D40 seq=10500 (K)
   2799110          0  .00279906       .999 FV6573 S2D1 seq=1000 (K)
   2804381          0          1    122.237 FV723 S2D50 seq=7000 (K)
   2807223          0          1     10.401 EV18 S28D1 seq=1000 KD4 (K)
   2807400          0          1     17.192 FV356 S1D1 seq=52000 KD5 (K)
   2807817          0          1     48.127 FV356 S1D1 seq=52000 KD6 (K)
   2812179  .99059635          1      1.002 FV402 S3D1 seq=3000 KD1 (K)
   2822721          0  .00156443      1.834 FV1774 S2D1 seq=1000 (K)
   2822722  .28715536  .90376651     266.35 EV6 S31D51 seq=17100 (K)
   2822728          0  .82887898    724.461 FV1774 S2D30 seq=500 (K)
   2822744  .48469205          1    111.036 EV6 S31D50 seq=17200 (K)
   2935944          0          1    130.982 EV134 S45D1 seq=10000 SD1 (K)
   2982035          0          1    400.755 EV18 S26D1 seq=2000 KD3 (K)
   2982036          0          1    428.858 EV18 S26D1 seq=2000 KD2 (K)
   2982037          0          1    483.206 EV18 S26D1 seq=2000 KD4 (K)
   2982038          0          1    369.974 EV18 S26D1 seq=2000 KD1 (K)
   2982048          0          1     222.62 EV18 S26D1 seq=2000 KD5 (K)
   2982055          0          1    558.327 EV18 S25D1 seq=2000 KD2 (K)
   2982056          0          1    453.883 EV18 S25D1 seq=2000 KD1 (K)
   2982057          0          1    523.188 EV18 S25D1 seq=2000 KD4 (K)
   2982058          0          1    464.293 EV18 S25D1 seq=2000 KD3 (K)
   2982059          0          1     66.609 EV18 S25D1 seq=2000 KD5 (K)
   2982061          0          1    103.678 EV18 S25D1 seq=2000 KD7 (K)
   2982062          0          1    103.685 EV18 S25D1 seq=2000 KD6 (K)
   3102617          0          1     59.081 FV3724 S1D10 seq=2000 (K)
   3102618          0          1      7.749 FV3724 S1D10 seq=4000 (K)
   3109686          0          1    384.883 EV6 S185D10 seq=3000 (K)
   3113561          0          1    440.631 FV353 S3D1 seq=12000 (K)
   3118487          0          1     86.378 FV319 S6D1 seq=19000 KD1 (K)
   3134550          0          1     91.133 FV410 S3D1 seq=2500 KD1 (K)
   3135133          0  .08817746     48.054 FV409 S3D10 seq=9000 (K)
   3157281  .98402862          1       1.01 FV3670 S2D1 seq=1000 KD1 (K)
   3159678          0          1    152.592 EV10 S20D1 seq=5000 SD1 (K)
   3160021  .61047535          1     23.114 1560 PV99908 S1D1 seq=3000 (K)
   3165162          0   .6901732    126.913 EV18 S18D1 seq=7000 SD1 (K)
   3168679  .99337748          1      1.002 FV3282 S8D1 seq=2000 (K)
   3187710          0          1   1495.294 FV3356 S1D1 seq=3000 (K)
   3192961          0          1    250.804 FV4052 S1D1 seq=2000 (K)
   3212815          0  .40424737     51.787 EV39 S126D1 seq=1800 (K)
   3212816          0          1    125.715 EV39 S126D1 seq=1700 KD1 (K)
   3212828          0          1    281.648 FV3974 S1D1 seq=2000 (K)
   3212832          0          1    105.351 FV3974 S1D1 seq=1000 KD1 (K)
   3212833          0          1    105.359 FV3974 S1D1 seq=2000 KD1 (K)
   3212887          0          1     91.361 EV39 S126D1 seq=1700 (K)
   3212888          0          1    137.144 EV39 S125D1 seq=1100 KD1 (K)
   3212893          0  .85345521    279.002 FV3974 S1D1 seq=3000 (K)
   3212896          0          1     97.969 FV3974 S1D1 seq=1000 (K)
   3212905  .99000035          1      1.005 EV39 S126D1 seq=1800 KD1 (K)
   3214468  .58552703          1    829.105 EA39 S1123D1 seq=3000 (K)
   3214471          0          1    108.652 EV39 S123D50 seq=15500 KD5 (K)
   3214478          0          1    103.787 EV39 S123D50 seq=15500 KD6 (K)
   3214486          0          1     103.78 FV455 S1D40 seq=1200 KD1 (K)
   3214487          0          1    122.042 FV455 S1D40 seq=1300 (K)
   3214489          0          1    872.421 FV455 S1D40 seq=1100 (K)
   3214538          0          1    135.086 EV39 S123D50 seq=15500 KD7 (K)
   3222574          0  .19481437     46.975 FV401 S3D1 seq=10000 SD1 (K)
   3230785          0          1     15.378 FV3380 S4D1 seq=3000 (K)
   3234843          0          1    504.737 EV6 S1067D1 seq=900 (K)
   3261805          0          1    488.753 FV356 S1D1 seq=68000 (K)
   3266755          0          1      18.08 FV6590 S1D1 seq=1000 (K)
   3276937   .7910456          1     96.944 FA3180 S1001D1 seq=2000 (K)
   3276949          0          1     17.526 FV3180 S1D1 seq=26000 (K)
   3286885          0          1    767.436 EV6 S101D1 seq=1500 (K)
   3289505          0          1     69.227 FV6573 S1D1 seq=4500 KD1 (K)
   3289506          0          1     76.416 FV6573 S1D1 seq=5000 (K)
   3289507          0          1    133.089 FV6573 S1D1 seq=3000 (K)
   3291563          0          1      6.013 FV6686 S1D1 seq=19100 (K)
   3291566          0          1    105.854 FV6686 S1D1 seq=19000 KD1 (K)
   3292246          0          1    242.792 EV18 S41D1 seq=7000 KD10 (K)
   3293708  .09089674          1    206.067 FA6590 S1001D1 seq=1000 (K)
   3298073          0          1    166.823 FV6808 S1D1 seq=1000 (K)
   3304950          0          1    213.516 EV6 S179D1 seq=6000 SD2 (K)
   3306412          0          1    210.355 EV16 S48D1 seq=9000 (K)
   3306414          0          1    218.106 EV16 S48D1 seq=10000 (K)
   3306466          0          1     160.55 EV16 S48D1 seq=9000 KD1 (K)
   3308009          0          1    108.586 FV5876 S1D1 seq=3020 (K)
   3308010          0          1     37.059 FV5876 S1D1 seq=3010 (K)
   3312541          0          1     53.915 RV706 S1D1 seq=20000 KD1 (K)
   3315752          0          1     67.752 FV541 S4D350 seq=26200 (G)
   3315753          0          1    111.106 FV541 S4D350 seq=26260 (G)
   3315757          0          1    101.597 FV541 S4D50 seq=25000 (K)
   3315759          0          1     65.268 FV541 S4D40 seq=19000 (K)
   3315763          0          1    401.256 FV541 S4D30 seq=15000 (K)
   3315764          0          1     87.738 FV541 S4D20 seq=13000 (K)
   3315765          0          1      30.42 FV541 S4D10 seq=9500 (K)
   3315766          0          1     90.355 FV541 S4D10 seq=8000 (K)
   3320958          0          1     20.346 FV3354 S1D10 seq=2500 (K)
   3322824          0          1    828.473 EV134 S23D1 seq=4000 (K)
   3322829          0          1    801.712 EV134 S23D1 seq=2000 (K)
   3326887          0          1       5.12 FV450 S14D1 seq=15000 (K)
   3329279          0          1     95.434 EV18 S2D1 seq=6100 KD4 (K)
   3330825          0          1     48.613 RV13 S2D15 seq=2100 (K)
   3331743          0          1     59.607 RV7 S3D1 seq=10000 KD2 (K)
   3331745          0          1     75.577 RV7 S3D1 seq=10000 KD3 (K)
   3332444          0          1     75.629 FV158 S1D1 seq=9250 KD1 (K)
   3332445          0          1     54.425 FV158 S1D1 seq=9250 (K)
   3332446          0          1     20.193 FV1530 S1D1 seq=17500 (K)
   3332448          0          1     77.354 FV158 S1D1 seq=9450 (K)
   3334219          0          1     465.91 FV29 S3D1 seq=1000 (K)
   3334224          0          1    360.643 FV29 S2D1 seq=2000 (K)
   3337049          0          1     42.759 FV1418 S2D1 seq=3000 (K)
   3337054          0          1    107.309 FV1418 S2D1 seq=2000 KD1 (K)
   3337055          0          1     40.745 FV1418 S2D1 seq=2000 (K)
   3337089          0          1     64.761 EV16 S47D60 seq=146400 (K)
   3337090          0          1     63.562 EV16 S47D60 seq=146200 KD1 (K)
   3337091          0          1     52.928 EV16 S47D60 seq=146200 (K)
   3337659          0          1    159.715 FV6686 S1D1 seq=19210 (K)
   3337821          0          1     24.262 FV356 S1D1 seq=64500 (K)
   3337933          0          1     79.584 FV3975 S1D1 seq=8000 (K)
   3337934          0          1    135.631 EV39 S125D1 seq=1200 (K)
   3337935          0          1     93.145 EV39 S125D1 seq=1100 (K)
   3338937          0          1    132.595 FV6798 S1D1 seq=4500 (K)
   3341087          0          1       95.2 FV152 S7D1 seq=28000 (K)
   3341088          0          1      62.55 FV152 S7D1 seq=27000 (K)
   3341092          0          1     93.761 FV152 S7D1 seq=27000 KD1 (K)
   3341656          0          1    110.061 FV1392 S1D1 seq=7000 (K)
   3341657          0          1    214.221 FV1392 S1D1 seq=6000 (K)
   3341658          0          1     52.601 FV1392 S1D1 seq=4000 (K)
   3341660          0          1    109.126 FV1392 S1D1 seq=4000 KD1 (K)
   3342507          0          1    132.999 FV1646 S1D1 seq=1500 (K)
   3342509          0          1     60.345 FV1646 S1D1 seq=1000 KD1 (K)
   3342511          0          1     37.194 FV1646 S1D1 seq=1000 (K)
   3342522          0          1     27.381 FV1642 S1D1 seq=9000 (K)
   3342526          0          1     65.968 FV1642 S1D1 seq=6500 KD1 (K)
   3342527          0          1     75.369 FV1642 S1D1 seq=6700 (K)
   3342529          0          1     44.973 FV1642 S1D1 seq=6500 (K)
   3342530          0          1     59.698 FV164 S2D10 seq=4000 KD1 (K)
   3342536          0          1     69.134 FV164 S2D10 seq=2500 KD1 (K)
   3342537          0          1     110.35 FV164 S2D10 seq=4000 (K)
   3342539          0          1    144.607 FV164 S2D10 seq=2500 (K)
   3342545          0          1     24.202 FV1642 S1D10 seq=12000 (K)
   3342551          0          1     22.514 FV1648 S1D1 seq=500 (K)
